,id,timestamp,layer_type,method,local_port,remote_port,req_cf_ray,req_content_length,resp_content_length,resp_vary,status_code,target
56,1abV4tmZ,08/Jun/2025:07:39:47 +0000,,POST,1234,51594,94c6bcc73bbcce82-SIN,71.0,62,Origin,401,ssrf
57,NzgyzLUV,08/Jun/2025:07:39:48 +0000,,POST,1234,51594,94c6bcc9c928fd9e-SIN,78.0,62,Origin,401,ssrf
58,5RLUVIYt,08/Jun/2025:07:40:03 +0000,SINGLE_LAYERED,POST,1234,55380,94c6bd294b3ffda7-SIN,108.0,33,Origin,200,xss
59,ooNVM3hC,08/Jun/2025:07:40:04 +0000,SINGLE_LAYERED,POST,1234,55380,94c6bd31f9c1a132-SIN,483.0,58,Origin,404,BENIGN
60,8licl2W8,08/Jun/2025:07:40:14 +0000,SINGLE_LAYERED,POST,1234,55380,94c6bd6c7a76fda7-SIN,108.0,33,Origin,200,xss
61,Fj7aJ3dN,08/Jun/2025:07:40:34 +0000,SINGLE_LAYERED,POST,1234,55380,94c6bdedecc5fda7-SIN,125.0,33,Origin,200,xss
62,UwpyELr3,08/Jun/2025:07:40:46 +0000,SINGLE_LAYERED,POST,1234,55380,94c6be381c12fda7-SIN,124.0,33,Origin,200,xss
63,ACYUGDhO,08/Jun/2025:07:40:48 +0000,,POST,1234,55380,94c6be441de35607-SIN,80.0,62,Origin,401,ssrf
64,xNyiPUod,08/Jun/2025:07:40:49 +0000,,POST,1234,55380,94c6be469df1fd39-SIN,82.0,62,Origin,401,ssrf
65,CvBVznqR,08/Jun/2025:07:41:15 +0000,SINGLE_LAYERED,POST,1234,55380,94c6bee8b80bfda7-SIN,160.0,33,Origin,200,xss
66,jfPwzGx9,08/Jun/2025:07:41:49 +0000,,POST,1234,55380,94c6bfc0dfe3fd13-SIN,62.0,62,Origin,401,ssrf
67,TTdhgI3d,08/Jun/2025:07:41:50 +0000,SINGLE_LAYERED,POST,1234,55380,94c6bfc38c944d7b-SIN,82.0,62,Origin,401,sql_injection
68,g1M3T8ef,08/Jun/2025:07:41:53 +0000,,DELETE,1234,55380,94c6bfd9a98bfd03-SIN,,50,Origin,401,ssrf
69,4qB1dzSM,08/Jun/2025:07:41:54 +0000,SINGLE_LAYERED,POST,1234,55380,94c6bfe15b3dfd03-SIN,191.0,33,Origin,200,xss
70,dsGc6DlX,08/Jun/2025:07:42:17 +0000,SINGLE_LAYERED,POST,1234,55380,94c6c06e8ecdfd03-SIN,167.0,33,Origin,200,xss
71,gMCNfFyJ,08/Jun/2025:07:42:17 +0000,SINGLE_LAYERED,POST,1234,55380,94c6c070387f5dd6-HKG,483.0,58,Origin,404,BENIGN
72,GIKkRzNT,08/Jun/2025:07:42:40 +0000,SINGLE_LAYERED,PUT,1234,55380,94c6c0fcb903fd03-SIN,145.0,33,Origin,200,xss
73,pWUQWwm9,08/Jun/2025:07:42:43 +0000,SINGLE_LAYERED,POST,1234,55380,94c6c10fdfadb2df-SIN,483.0,58,Origin,404,BENIGN
74,m1lrEUOv,08/Jun/2025:07:42:50 +0000,SINGLE_LAYERED,POST,1234,55380,94c6c13e092846a9-SIN,84.0,62,Origin,401,sql_injection
75,qbGToCk3,08/Jun/2025:07:42:51 +0000,SINGLE_LAYERED,POST,1234,55380,94c6c140b99efe18-SIN,86.0,62,Origin,401,sql_injection
76,V5nu28Np,08/Jun/2025:07:43:03 +0000,SINGLE_LAYERED,PUT,1234,55380,94c6c18fece9fd03-SIN,132.0,33,Origin,200,xss
77,frFBlzIW,08/Jun/2025:07:43:08 +0000,SINGLE_LAYERED,POST,1234,55380,94c6c1ae08a78956-SIN,483.0,58,Origin,404,BENIGN
78,03NFVj8J,08/Jun/2025:07:43:28 +0000,SINGLE_LAYERED,POST,1234,55380,94c6c229cb68fd03-SIN,144.0,50,Origin,401,xss
79,IMn7YVA1,08/Jun/2025:07:43:28 +0000,SINGLE_LAYERED,POST,1234,55380,94c6c22aeba0fd03-SIN,144.0,33,Origin,200,xss
80,Yvva3GPg,08/Jun/2025:07:43:51 +0000,SINGLE_LAYERED,POST,1234,55380,94c6c2bb2f5af8fc-SIN,80.0,62,Origin,401,sql_injection
81,7erre9Nc,08/Jun/2025:07:43:52 +0000,SINGLE_LAYERED,POST,1234,55380,94c6c2bd9db7f8de-SIN,87.0,62,Origin,401,sql_injection
82,AirfRxxi,08/Jun/2025:07:44:05 +0000,SINGLE_LAYERED,POST,1234,55380,94c6c314ebd23f6b-SIN,483.0,58,Origin,404,BENIGN
83,JknqDxrm,08/Jun/2025:07:44:42 +0000,,GET,1234,55380,94c6c3fadf38895f-SIN,,50,Origin,401,ssrf
84,gp7nQyCZ,08/Jun/2025:07:44:42 +0000,,GET,1234,38818,94c6c3fadf3b895f-SIN,,50,Origin,401,ssrf
85,bzJnQKPx,08/Jun/2025:07:44:53 +0000,SINGLE_LAYERED,POST,1234,38848,94c6c43afb0e9d20-SIN,89.0,62,Origin,401,sql_injection
86,DDrkGKWH,08/Jun/2025:07:44:53 +0000,SINGLE_LAYERED,POST,1234,38848,94c6c43edb5e5f9f-SIN,91.0,62,Origin,401,sql_injection
87,s5mwzWUK,08/Jun/2025:07:44:58 +0000,SINGLE_LAYERED,POST,1234,38848,94c6c45e1b6ddd34-HKG,541.0,33,Origin,200,BENIGN
88,UjS4ufEC,08/Jun/2025:07:45:24 +0000,SINGLE_LAYERED,POST,1234,38844,94c6c4fedbaadd34-HKG,541.0,58,Origin,404,BENIGN
89,V8HTUly5,08/Jun/2025:07:45:46 +0000,SINGLE_LAYERED,POST,1234,38848,94c6c5880adbdd34-HKG,541.0,33,Origin,200,BENIGN
90,kIqAaG5o,08/Jun/2025:07:45:54 +0000,SINGLE_LAYERED,POST,1234,38848,94c6c5bbed035f42-SIN,82.0,62,Origin,401,sql_injection
91,TvWhD2y6,08/Jun/2025:07:45:55 +0000,SINGLE_LAYERED,POST,1234,38848,94c6c5be5dc8fd2f-SIN,85.0,62,Origin,401,sql_injection
92,I2RQOGVN,08/Jun/2025:07:46:12 +0000,,GET,1234,36924,94c6c62a48e05fb3-SIN,,50,Origin,401,ssrf
93,MYvPQzWH,08/Jun/2025:07:46:18 +0000,SINGLE_LAYERED,POST,1234,36924,94c6c6541b9bdd34-HKG,541.0,33,Origin,200,BENIGN
94,tRgKy8Rc,08/Jun/2025:07:46:57 +0000,,POST,1234,38818,94c6c74388dafdff-SIN,86.0,62,Origin,401,ssrf
95,zZeFQuBs,08/Jun/2025:07:46:58 +0000,,POST,1234,38844,94c6c74a1e55fdfc-SIN,88.0,62,Origin,401,ssrf
96,6i05CUNg,08/Jun/2025:07:47:06 +0000,SINGLE_LAYERED,POST,1234,38842,94c6c77a9bd4dd34-HKG,541.0,33,Origin,200,BENIGN
97,de95Q788,08/Jun/2025:07:47:09 +0000,SINGLE_LAYERED,POST,1234,38842,94c6c790fa384027-SIN,131.0,33,Origin,200,BENIGN
98,NyHyCKmg,08/Jun/2025:07:47:12 +0000,SINGLE_LAYERED,POST,1234,38842,94c6c7a12c4a4027-SIN,131.0,33,Origin,200,BENIGN
99,FINTIKXM,08/Jun/2025:07:47:13 +0000,SINGLE_LAYERED,POST,1234,38842,94c6c7a7fffa4027-SIN,131.0,33,Origin,200,BENIGN
100,0XPD0ntd,08/Jun/2025:07:47:14 +0000,SINGLE_LAYERED,POST,1234,38842,94c6c7ad4b424027-SIN,131.0,33,Origin,200,BENIGN
101,R2gp7owT,08/Jun/2025:07:47:15 +0000,SINGLE_LAYERED,POST,1234,38842,94c6c7b2ef354027-SIN,131.0,33,Origin,200,BENIGN
102,kDPxVBbl,08/Jun/2025:07:47:22 +0000,SINGLE_LAYERED,POST,1234,38842,94c6c7dfed73dd34-HKG,87.0,62,Origin,401,sql_injection
103,RwChGj4F,08/Jun/2025:07:47:40 +0000,SINGLE_LAYERED,POST,1234,38842,94c6c8549f314027-SIN,131.0,33,Origin,200,BENIGN
104,GTQGEJrg,08/Jun/2025:07:47:42 +0000,SINGLE_LAYERED,POST,1234,38842,94c6c85d3d1a4027-SIN,131.0,33,Origin,200,BENIGN
